layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
14,469,1,unassigned,0.032573,4.841109,0.043581,0.060000,0.037112,0.166519,0.163963,0.559082,0.982910,0.179491,1.626564,0.000000
14,470,0,sink,0.074378,3.443159,0.035214,0.010000,0.084440,0.110598,0.008096,0.929688,0.994629,0.125049,3.279539,0.000000
14,471,1,unassigned,0.047823,4.680692,0.043488,0.025000,0.054741,0.071906,0.025062,0.833496,0.987305,0.193303,2.018957,0.000000
14,472,3,cond,0.182414,1.972979,0.743464,0.937500,0.193147,1.015272,0.083882,0.753418,0.981934,0.138600,2.828307,0.000000
14,473,1,unassigned,0.032297,5.139309,0.034703,0.030000,0.038060,0.055928,0.086862,0.809570,0.979492,0.177529,2.132384,0.000000
14,474,3,cond,0.124113,2.700914,0.492486,0.630000,0.137845,0.984533,0.106391,0.588867,0.966309,0.161073,2.641211,0.000000
14,475,2,cond,0.135179,4.525746,0.248850,0.655000,0.148362,0.596049,0.719889,0.222534,0.940430,0.196978,1.951576,0.000000
14,476,1,unassigned,0.038247,4.746626,0.039415,0.020000,0.042888,0.102594,0.030806,0.850098,0.980957,0.146814,1.669300,0.000000
14,477,3,cond,0.148903,2.637454,0.555768,0.732500,0.161897,0.810737,0.226244,0.374023,0.956543,0.193585,2.248284,0.000000
14,478,1,unassigned,0.079310,4.905849,0.066774,0.045000,0.089267,0.089422,0.020496,0.676270,0.969727,0.147446,1.533940,0.000000
14,479,1,unassigned,0.029721,5.448893,0.025987,0.015000,0.034526,0.031808,0.126806,0.284912,0.969238,0.197270,1.319271,0.000000
15,480,1,unassigned,0.093084,4.423797,0.074006,0.025000,0.105647,0.081924,0.101042,0.829102,0.986816,0.190943,2.578473,0.000000
15,481,1,reroute,0.045200,4.530152,0.036361,0.037500,0.052629,0.049151,0.024829,0.805176,0.969727,0.260492,2.648743,0.000000
15,482,1,unassigned,0.018121,4.322418,0.019114,0.017500,0.021681,0.096728,0.028401,0.678711,0.978516,0.238336,2.354158,0.000000
15,483,0,unassigned,0.085171,3.814850,0.039177,0.012500,0.096466,0.071051,0.019735,0.839355,0.983887,0.159328,2.848004,0.000000
15,484,1,unassigned,0.129611,4.329765,0.153194,0.147500,0.142328,0.259868,0.158289,0.326172,0.967773,0.180183,2.305720,0.000000
15,485,2,cond,0.160336,3.376307,0.475824,0.765000,0.172759,0.735226,0.594989,0.225342,0.945312,0.186514,1.723814,0.000000
15,486,1,unassigned,0.024896,5.012091,0.032957,0.012500,0.028103,0.033939,0.035619,0.598633,0.975098,0.107739,0.777191,0.000000
15,487,0,reroute,0.048412,3.598030,0.021766,0.017500,0.055388,0.041518,0.002929,0.935547,0.982910,0.255656,3.700177,0.000000
15,488,1,unassigned,0.082194,5.024213,0.087533,0.115000,0.092672,0.212555,0.098879,0.644531,0.975098,0.192716,1.805297,0.000000
15,489,1,unassigned,0.045941,4.000013,0.029256,0.010000,0.052543,0.115952,0.009170,0.844238,0.983887,0.151794,2.408856,0.000000
15,490,3,grounding,0.161675,4.858829,0.240229,0.682500,0.173664,0.248382,0.121326,0.306885,0.970703,0.150425,0.963496,0.000000
15,491,1,unassigned,0.085975,4.394643,0.065258,0.015000,0.098147,0.119036,0.016390,0.402344,0.975098,0.195007,2.432999,0.000000
15,492,0,sink,0.136088,4.135224,0.230102,0.400000,0.149009,0.166708,0.021986,0.952148,0.969727,0.163283,2.639173,0.000000
15,493,0,unassigned,0.113617,3.806302,0.251713,0.400000,0.126897,0.125863,0.049290,0.457764,0.963867,0.141288,3.393937,0.000000
15,494,3,cond,0.165693,2.421283,0.614300,0.710000,0.177845,0.726441,0.140321,0.419922,0.969238,0.149373,1.973555,0.000000
15,495,0,sink,0.125363,4.787165,0.101020,0.015000,0.138879,0.029252,0.016684,0.880371,0.979492,0.177040,3.494863,0.000000
15,496,0,sink,0.061039,3.235526,0.021248,0.007500,0.069871,0.040165,0.006807,0.909668,0.982422,0.160616,3.879054,0.000000
15,497,3,unassigned,0.113752,3.565337,0.350887,0.560000,0.127112,0.081983,0.077721,0.510742,0.978516,0.231569,1.745669,0.000000
15,498,0,unassigned,0.136858,3.780673,0.195600,0.137500,0.149741,0.212357,0.079984,0.827148,0.987793,0.191603,2.412447,0.000000
15,499,3,grounding,0.149989,4.010168,0.404108,0.880000,0.162931,0.195773,0.097839,0.797852,0.966797,0.155357,1.665351,0.000000
15,500,1,unassigned,0.096513,4.512222,0.078322,0.015000,0.108190,0.157293,0.095987,0.772949,0.977539,0.153419,1.721510,0.000000
15,501,1,unassigned,0.044908,4.738272,0.033829,0.002500,0.051595,0.039219,0.036788,0.403076,0.971680,0.169958,2.807723,0.000000
15,502,3,unassigned,0.094661,4.226626,0.265716,0.660000,0.107716,0.193724,0.147111,0.578613,0.965332,0.148236,2.157988,0.000000
15,503,3,unassigned,0.126659,4.361162,0.225577,0.387500,0.139741,0.316527,0.082173,0.652832,0.971680,0.157334,1.732877,0.000000
15,504,3,reroute,0.100063,3.416188,0.336393,0.547500,0.112888,0.198254,0.261747,0.652344,0.969238,0.259057,2.675780,0.000000
15,505,1,unassigned,0.083795,3.831080,0.179260,0.415000,0.095603,0.117412,0.044628,0.583008,0.971680,0.220702,2.259057,0.000000
15,506,0,reroute,0.069065,3.783592,0.030047,0.012500,0.078922,0.056735,0.042171,0.726074,0.976562,0.248453,3.283135,0.000000
15,507,3,cond,0.154089,3.241611,0.442637,0.687500,0.166983,0.417552,0.057652,0.774902,0.976074,0.152846,2.454430,0.000000
15,508,0,sink,0.044365,3.900018,0.026671,0.007500,0.050603,0.061320,0.010435,0.923828,0.991211,0.160111,3.106320,0.000000
15,509,3,grounding,0.180301,4.712207,0.297580,0.825000,0.190948,0.193539,0.191124,0.655273,0.971191,0.169984,1.209882,0.000000
15,510,1,unassigned,0.113558,4.465124,0.200941,0.385000,0.127284,0.135185,0.095846,0.529785,0.967773,0.133371,1.555866,0.000000
15,511,2,grounding,0.151481,4.155702,0.339002,0.682500,0.164397,0.326529,0.263714,0.219849,0.954590,0.139419,1.799879,0.000000
16,512,1,unassigned,0.098037,4.570111,0.120835,0.110000,0.110948,0.115586,0.052883,0.537598,0.970215,0.130608,1.171674,0.000000
16,513,0,reroute,0.048178,3.738198,0.058723,0.027500,0.057069,0.072912,0.054210,0.840820,0.984375,0.341822,3.152635,0.000000
16,514,2,cond,0.124633,4.208377,0.260985,0.545000,0.138233,0.300214,0.625357,0.090515,0.928223,0.142290,1.541166,0.000000
16,515,2,unassigned,0.123127,4.061554,0.286768,0.575000,0.136638,0.203616,0.417293,0.375244,0.957520,0.138654,1.151331,0.000000
16,516,1,unassigned,0.078186,4.613717,0.161064,0.557500,0.090043,0.168153,0.053856,0.564941,0.974609,0.224713,1.732059,0.000000
