layer,head,cluster,role,p1_box_iou,p1_entropy,p1_mass_in_box,p1_pointing,p1_topk_prec,p3_cond_kld,p5_head_entropy,p5_sink16,p5_sink_stability,p6_occluded_mass,p6_reroute_kld,p8_mass_when_correct
2,74,1,unassigned,0.047157,4.736998,0.037637,0.015000,0.056058,nan,1.992737,0.508789,0.983887,0.069735,0.246283,0.000000
2,75,0,grounding,0.139952,4.805914,0.114245,0.345000,0.154712,nan,2.488243,0.257568,0.978516,0.084876,0.173824,0.000000
2,76,0,reroute,0.112868,4.648390,0.158327,0.782500,0.128365,nan,2.468504,0.378662,0.985352,0.132301,0.391396,0.000000
2,77,1,unassigned,0.121704,4.705046,0.062889,0.022500,0.136827,nan,2.323955,0.194580,0.975098,0.071490,0.065697,0.000000
2,78,1,sink,0.054522,4.985278,0.041423,0.032500,0.064327,nan,2.062243,0.709961,0.973145,0.076024,0.160462,0.000000
2,79,1,unassigned,0.096829,4.954040,0.061357,0.015000,0.110192,nan,2.298545,0.140503,0.984375,0.095587,0.152913,0.000000
2,80,2,unassigned,0.116821,4.725266,0.065150,0.012500,0.130577,nan,2.294843,0.258789,0.974609,0.092416,0.191948,0.000000
2,81,2,unassigned,0.064402,4.986574,0.042659,0.010000,0.075192,nan,2.255053,0.298096,0.972656,0.082483,0.123469,0.000000
2,82,1,sink,0.113074,4.125813,0.087136,0.012500,0.127115,nan,1.499696,0.688965,0.984863,0.071629,0.205402,0.000000
2,83,0,unassigned,0.138064,4.533937,0.060018,0.015000,0.152500,nan,2.194353,0.065308,0.970215,0.082485,0.099912,0.000000
3,84,1,unassigned,0.093317,4.092260,0.061888,0.017500,0.105962,nan,2.127268,0.205688,0.977539,0.052743,0.149939,0.000000
3,85,2,unassigned,0.096730,4.034662,0.057298,0.015000,0.109519,nan,1.969738,0.103943,0.967773,0.058724,0.276842,0.000000
3,86,1,unassigned,0.055189,4.538310,0.042539,0.015000,0.064615,nan,1.858116,0.248901,0.976074,0.049160,0.251564,0.000000
3,87,1,unassigned,0.060024,3.064044,0.036799,0.015000,0.070481,nan,1.704044,0.302979,0.975098,0.054761,0.286025,0.000000
3,88,0,grounding,0.147759,4.241207,0.093476,0.017500,0.161635,nan,2.054893,0.328125,0.973145,0.041631,0.170639,0.000000
3,89,1,unassigned,0.112933,3.936160,0.064879,0.015000,0.126827,nan,1.958764,0.297852,0.970703,0.056962,0.266765,0.000000
3,90,1,unassigned,0.105968,3.884510,0.076985,0.022500,0.120096,nan,1.934998,0.236328,0.966309,0.040816,0.239248,0.000000
3,91,1,unassigned,0.071450,5.060993,0.060466,0.105000,0.083462,nan,2.371332,0.095581,0.979004,0.074660,0.064358,0.000000
3,92,0,sink,0.150565,4.611233,0.097199,0.047500,0.164231,nan,2.096593,0.657227,0.973633,0.074890,0.108736,0.000000
3,93,0,grounding,0.145669,4.838325,0.081054,0.027500,0.159808,nan,2.018477,0.258545,0.972656,0.097764,0.104191,0.000000
3,94,2,reroute,0.072762,0.747255,0.020830,0.015000,0.085096,nan,1.533764,0.123352,0.971191,0.044035,0.619074,0.000000
3,95,1,unassigned,0.114244,4.244816,0.061789,0.015000,0.128173,nan,2.167244,0.344238,0.972656,0.090011,0.161180,0.000000
3,96,0,sink,0.115971,4.778223,0.091567,0.042500,0.130769,nan,2.385078,0.474609,0.973145,0.086111,0.142285,0.000000
3,97,1,unassigned,0.076691,4.902376,0.048244,0.015000,0.088173,nan,2.343785,0.320312,0.977539,0.092088,0.108317,0.000000
3,98,0,reroute,0.100653,4.903105,0.072478,0.125000,0.114615,nan,2.422199,0.347900,0.968750,0.111536,0.367733,0.000000
3,99,0,unassigned,0.111656,4.566406,0.079041,0.037500,0.126058,nan,2.109854,0.067505,0.968750,0.074157,0.239496,0.000000
3,100,1,sink,0.083942,4.556801,0.050147,0.002500,0.096442,nan,1.811797,0.540527,0.978027,0.056779,0.278226,0.000000
3,101,1,sink,0.131527,3.705563,0.070006,0.015000,0.145673,nan,2.033610,0.414307,0.988770,0.059320,0.233016,0.000000
3,102,0,unassigned,0.133860,3.909994,0.080730,0.017500,0.148654,nan,2.291589,0.314453,0.987305,0.085388,0.126860,0.000000
3,103,2,unassigned,0.041730,4.274791,0.038380,0.015000,0.049904,nan,2.251360,0.100647,0.971191,0.054004,0.153739,0.000000
3,104,0,unassigned,0.091272,4.841683,0.069783,0.107500,0.104327,nan,2.438748,0.060486,0.972656,0.090096,0.288370,0.000000
3,105,0,grounding,0.133348,4.843333,0.091129,0.030000,0.148269,nan,2.383461,0.107300,0.975098,0.077804,0.164762,0.000000
3,106,2,unassigned,0.064000,5.035983,0.050008,0.025000,0.075385,nan,2.309134,0.029785,0.967285,0.097333,0.137954,0.000000
